,name,rating,provider,lat,lon,city
390,"Gaziantepli Çevikoğlu Baklava, Merkez (İzzet Paşa Mah.)",4.4,GETIR,38.6748,39.2225,ELAZIĞ
391,Dedem Sandwich (Kavaklıdere Mah.),4.6,GETIR,39.9334,32.8597,ANKARA
392,Simit Sarayı (Aksaray Mah.),3.6,GETIR,41.0082,28.9784,ISTANBUL
393,"Pizze-Nes, Merkez (Cumhuriyet Mah.)",4.1,GETIR,38.6748,39.2225,ELAZIĞ
394,Döner 7,3.4,YEMEK_SEPETI,39.9334,32.8597,ANKARA
395,Baklavacı Nuroğlu,3.7,YEMEK_SEPETI,41.0082,28.9784,ISTANBUL
396,"Janti Döner & Fast Food, Mamak (Demirlibahçe Mah.)",4.6,GETIR,39.9334,32.8597,ANKARA
397,"Cajun Time, Mamak (Aşık Veysel Mah.)  ",0.0,GETIR,39.9334,32.8597,ANKARA
398,Öz Sarıyayla 49 Pide & Kebap (Kurtuluş),4.7,GETIR,39.9334,32.8597,ANKARA
399,"Çiğdem Pastanesi, Mamak (Peyami Safa Mah.)",4.7,GETIR,39.9334,32.8597,ANKARA
400,Köfteci Sinan Mamak (Balkiraz Mah.),4.5,GETIR,39.9334,32.8597,ANKARA
401,"Tevhid Et Lokantası, Altındağ (Hacı Bayram Mah.)",4.5,GETIR,39.9334,32.8597,ANKARA
402,Meşhur İstanbul Pilavcısı,0.0,YEMEK_SEPETI,39.9334,32.8597,ANKARA
403,Mangalda Kanat (Rüstempaşa Mah.),4.5,GETIR,41.0082,28.9784,ISTANBUL
404,"Öz Başkent Dürümcüsü ,Çankaya (Kocatepe Mah.)",4.0,GETIR,39.9334,32.8597,ANKARA
405,"Class Burger, Şişli (Halaskargazi Mah.)  ",4.2,GETIR,41.0082,28.9784,ISTANBUL
406,"Pasaport Pizza, Merkez (Yeni Mah. Yunus Emre Blv.)",4.1,GETIR,38.6748,39.2225,ELAZIĞ
407,Bi Döner (Haseki Sultan Mah.),4.0,GETIR,41.0082,28.9784,ISTANBUL
408,"Masabaşı Kebapçısı, Çankaya (Kızılay Mah.)",4.7,GETIR,39.9334,32.8597,ANKARA
409,"Tarhana Kazanı, Çankaya (Kızılay Mah.)",4.4,GETIR,39.9334,32.8597,ANKARA
410,"Hm Burger Sokak Lezzetleri, Keçiören (Güçlükaya Mah.)",4.3,GETIR,39.9334,32.8597,ANKARA
411,"Köfteci Yusuf, Fatih (Nişanca Mah.)",4.0,GETIR,41.0082,28.9784,ISTANBUL
412,"Atm Burger & Köfte,  Çankaya (Göktürk Mah.)  ",4.7,GETIR,39.9334,32.8597,ANKARA
413,Dostan Mantı (Süleymaniye Mah.),0.0,GETIR,41.0082,28.9784,ISTANBUL
414,Espressolab (Balabanağa Mah.),3.7,GETIR,41.0082,28.9784,ISTANBUL
415,"Etçi Mehmet Burger, Çankaya (Eti Mah.)",4.6,GETIR,39.9334,32.8597,ANKARA
416,Pizza Da Gusto (Rüstempaşa Mah.)  ,3.5,GETIR,41.0082,28.9784,ISTANBUL
417,Ta & Ma Cafe & Restaurant (Camiikebir Mah.),4.3,GETIR,41.0082,28.9784,ISTANBUL
418,Sedef Büfe (Binbirdirek Mah.),4.7,GETIR,41.0082,28.9784,ISTANBUL
419,"Öz Sarıyer Börek, Merkez (İcadiye Mah.)",3.8,GETIR,38.6748,39.2225,ELAZIĞ
420,"Saloon Burger, Çankaya (Mebusevleri Mah.)",3.9,GETIR,39.9334,32.8597,ANKARA
421,Komagene Etsiz Çiğ Köfte,3.9,YEMEK_SEPETI,38.6748,39.2225,ELAZIĞ
422,"Cumhuriyet Fırını, Çankaya (Cebeci Mah.)",4.4,GETIR,39.9334,32.8597,ANKARA
423,Gala Kokoreç (Hobyar Mah.),4.3,GETIR,41.0082,28.9784,ISTANBUL
424,"This Chicken, Merkez (Yeni Mah.)   ",3.4,GETIR,38.6748,39.2225,ELAZIĞ
425,Büklüm Pide & Kebap,4.5,YEMEK_SEPETI,39.9334,32.8597,ANKARA
426,HD İskender (Akşemsettin Mah.),4.1,GETIR,41.0082,28.9784,ISTANBUL
427,"Arby's, Merkez (Cumhuriyet Mah.)",4.0,GETIR,38.6748,39.2225,ELAZIĞ
428,"Bolulu Hasan Usta, Çankaya (Kızılay Cumhuriyet Mah.)",4.5,GETIR,39.9334,32.8597,ANKARA
429,Çiğköftem (Historia AVM),4.5,GETIR,41.0082,28.9784,ISTANBUL
430,Pizza Bulls (Molla Gürani Mah.),4.5,GETIR,41.0082,28.9784,ISTANBUL
431,Dört Mevsim Balık (Cerrahpaşa Mah.),4.3,GETIR,41.0082,28.9784,ISTANBUL
432,Tacofit (Cihangir Mah.)   ,4.3,GETIR,41.0082,28.9784,ISTANBUL
433,"Adem Usta Meşhur Köfteci & Ciğerci, Çankaya (Maltepe Mah.)",3.9,GETIR,39.9334,32.8597,ANKARA
434,"Sushi And Wok, Çankaya (Esatoğlu Mah.)",4.6,GETIR,39.9334,32.8597,ANKARA
435,"Aleo İtaliano Pizza Pasta, Şişli (İnönü Mah.)  ",0.0,GETIR,41.0082,28.9784,ISTANBUL
436,"Battalbey Çiğ Köftecisi, Merkez (Abdullahpaşa Mah.)",4.7,GETIR,38.6748,39.2225,ELAZIĞ
437,"Pilav Y, Merkez (Çaydaçıra Mah.)",4.6,GETIR,38.6748,39.2225,ELAZIĞ
438,"Hamamönü Köftecisi, Altındağ (Hacettepe Mah. - Hamamönü)",4.5,GETIR,39.9334,32.8597,ANKARA
439,Boldi Kumrucu Sinan,4.0,YEMEK_SEPETI,39.9334,32.8597,ANKARA
